#-- One- and Two-neutron separation energies as evaluated by Audi et al., 
#-- G.Audi et al., Nuclear Physics A729 (2003) 337-676
#
#-------------------------------------------------
# A  elt  Z        S(n)                S(2n)      
#-------------------------------------------------
  1  n   0       0.0     0.0         *           
 40 P   15    3304.42  173.3301   9491.65  173.31
 40 S   16    7775.64  149.8802  12148.00  141.48
 40 Cl  17    5828.92   32.1168  13902.35   32.07
 40 Ar  18    9869.20    5.0020  16467.98    0.34
 40 K   19    7799.51    0.0720  20877.15    0.42
 40 Ca  20   15643.19    1.8529  28929.69    4.55
 40 Sc  21   14426.52   24.1784  31729.0    298.0  
 40 Ti  22   18421.0    260.0    34094.0    298.0  
 40 V   23       *           	     *            
 41 Al  13    1663.0   1063.0  	  1835.0   1676.0  
 41 Si  14     -24.18 1926.35	  4508.29 1875.08
 41 P   15    5240.99  257.1185   8545.41  239.69
 41 S   16    4223.85  184.2635  11999.49  128.41
 41 Cl  17    7820.70   75.8414  13649.62   68.75
 41 Ar  18    6098.89    0.3318  15968.09    5.01
 41 K   19   10095.19    0.0822  17894.70    0.10
 41 Ca  20    8362.80    0.1333  24005.99    1.86
 41 Sc  21   16190.48    2.8343  30617.00   24.00
 41 Ti  22   14921.0    189.0  	 33343.0    228.0  
 41 V   23   18607.0    543.0  	     *            
 42 Al  13      98.0   1208.0  	  1760.0   1142.0   
 42 Si  14    3200.0   1912.0  	  3175.0    750.0  
 42 P   15    1855.94  496.4110   7096.93  467.99
 42 S   16    6729.71  171.5212  10953.57  188.13
 42 Cl  17    5677.12  159.3409  13497.81  147.29
 42 Ar  18    9426.52    5.7833  15525.41    5.78
 42 K   19    7533.80    0.1175  17628.99    0.13
 42 Ca  20   11480.63    0.0600  19843.43    0.14
 42 Sc  21   11550.16    0.1619  27740.65    2.83
 42 Ti  22   17493.0    100.0    32413.91  160.09  
 42 V   23   16036.0    283.0  	 34642.0    540.0  
 42 Cr  24       *           	     *            
 43 Si  14    -191.0    861.0  	  3009.0   1972.0  
 43 P   15    3244.23 1066.84	  5100.18  992.59
 43 S   16    2359.05  237.1057   9088.76  234.04
 43 Cl  17    7326.50  213.1504  13003.61  171.73
 43 Ar  18    5658.45    7.8539  15084.97    5.32
 43 K   19    9643.00    8.9529  17176.80    8.95
 43 Ca  20    7932.88    0.1730  19413.51    0.18
 43 Sc  21   12138.01    1.8687  23688.17    1.86
 43 Ti  22   12270.87    8.7990  29763.0    100.0  
 43 V   23   17927.0    304.0  	 33962.0    310.0  
 43 Cr  24   16194.0    370.0  	     *            
 44 Si  14    1923.0   1063.0  	  1732.0    946.0   
 44 P   15    1737.0   1194.0  	  4981.0    829.0  
 44 S   16    5222.25  443.2209   7581.30  413.63
 44 Cl  17    4134.20  190.8971  11460.70  179.83
 44 Ar  18    8734.56    5.5428  14393.01    5.99
 44 K   19    7287.68   36.8848  16930.68   35.78
 44 Ca  20   11131.16    0.2350  19064.04    0.29
 44 Sc  21    9699.48    2.5576  21837.49    1.75
 44 Ti  22   16298.67    6.9471  28569.54    5.49
 44 V   23   14163.0    262.0    32090.0    230.0    
 44 Cr  24   19399.0    225.0  	 35593.0    302.0  
 44 Mn  25       *           	     *            
 45 P   15    2268.0   1063.0  	  4005.0   1257.0  
 45 S   16    2207.82 1786.49	  7430.07 1754.04
 45 Cl  17    6202.91  164.2766  10337.11  200.21
 45 Ar  18    5168.85    1.6622  13903.42    5.34
 45 K   19    8869.90   37.2213  16157.58   13.61
 45 Ca  20    7414.79    0.1779  18545.95    0.29
 45 Sc  21   11323.02    1.9384  21022.50    2.03
 45 Ti  22    9528.60    1.2097  25827.27    6.97
 45 V   23   15834.57  122.2903  29998.0    233.0  
 45 Cr  24   13576.0    506.0    32975.0    549.0  
 45 Mn  25   19585.0    585.0  	     *           
 45 Fe  26       *           	     *            
 46 P   15     470.0   1208.0  	  2738.0   1142.0   
 46 S   16    4120.0   1877.0  	  6328.0    802.0  
 46 Cl  17    4416.92  727.9443  10619.83  725.43
 46 Ar  18    8020.86   40.8905  13189.71   40.92
 46 K   19    6881.45   18.4914  15751.35   39.01
 46 Ca  20   10394.44    2.2878  17809.23    2.28
 46 Sc  21    8760.64    0.1098  20083.66    1.93
 46 Ti  22   13189.00    0.8284  22717.60    1.09
 46 V   23   13264.70   17.0412  29099.27  121.10
 46 Cr  24   18579.84  503.4015  32155.0     54.0  
 46 Mn  25   15328.0    318.0  	 34912.0    515.0  
 46 Fe  26   20896.0    418.0  	     *            
 47 S   16     768.0   1063.0  	  4888.0   1918.0   
 47 Cl  17    3880.0    933.0  	  8297.0    609.0  
 47 Ar  18    4259.03  107.9604  12279.88  100.08
 47 K   19    8349.27   16.4832  15230.72   12.79
 47 Ca  20    7276.36    0.2776  17670.81    2.27
 47 Sc  21   10646.32    1.9983  19406.96    1.99
 47 Ti  22    8880.29    0.2984  22069.29    0.85
 47 V   23   13000.36    0.6093  26265.06   17.03
 47 Cr  24   13155.96   24.4305  31735.80  503.20
 47 Mn  25   17964.0    194.0  	 33291.0    338.0   
 47 Fe  26   15449.0    440.0  	 36345.0    343.0  
 47 Co  27       *           	     *            
 48 S   16    2874.0   1208.0  	  3642.0   1142.0   
 48 Cl  17    2259.0    918.0  	  6138.0   1001.0   
 48 Ar  18    5879.0    314.0  	 10138.0    301.0  
 48 K   19    4498.98   24.7208  12848.25   28.10
 48 Ca  20    9945.32    4.1011  17221.69    4.11
 48 Sc  21    8235.30    5.5446  18881.62    5.38
 48 Ti  22   11626.65    0.0485  20506.94    0.29
 48 V   23   10544.65    2.4351  23545.01    2.51
 48 Cr  24   16332.11   15.7941  29488.07   21.31
 48 Mn  25   15132.0    194.0    33096.0    158.0    
 48 Fe  26   19609.0    270.0  	 35058.0    361.0  
 48 Co  27   17135.0    643.0  	     *           
 48 Ni  28       *           	     *            
 49 S   16    -730.0    300.0  	  2144.0   1244.0   
 49 Cl  17    3069.0   1063.0  	  5328.0    999.0   
 49 Ar  18    2501.0    585.0  	  8380.0    513.0  
 49 K   19    6266.65   73.9276  10765.63   70.33
 49 Ca  20    5146.45    0.1869  15091.78    4.11
 49 Sc  21   10127.58    5.7028  18362.88    4.11
 49 Ti  22    8142.39    0.0315  19769.04    0.05
 49 V   23   11552.88    2.5507  22097.53    0.87
 49 Cr  24   10582.62    7.6343  26914.73   14.17
 49 Mn  25   16363.47  114.3303  31496.0    160.0  
 49 Fe  26   14493.0    165.0  	 34102.0    300.0   
 49 Co  27   19287.0    478.0  	 36421.0    567.0  
 49 Ni  28   17470.0    643.0  	     *            
 50 Cl  17    1066.0   1208.0  	  4136.0   1142.0   
 50 Ar  18    4429.0    861.0  	  6930.0    760.0  
 50 K   19    3104.19  287.07	  9370.84  279.42
 50 Ca  20    6352.88    8.3235  11499.34    8.32
 50 Sc  21    6055.83   15.2848  16183.42   15.92
 50 Ti  22   10939.19    0.0414  19081.58    0.05
 50 V   23    9335.93    1.2811  20888.80    2.61
 50 Cr  24   13000.33    2.2000  23582.95    7.31
 50 Mn  25   13082.55   24.0205  29446.02  111.78
 50 Fe  26   17965.0    161.0    32458.0     92.0    
 50 Co  27   15691.0    310.0  	 34977.0    434.0   
 50 Ni  28   20861.0    478.0  	 38331.0    567.0   
 51 Cl  17    1877.0   1345.0  	  2943.0   1279.0   
 51 Ar  18    1365.0    988.0  	  5794.0    861.0   
 51 K   19    4721.0    575.0  	  7825.0    508.0  
 51 Ca  20    4363.74   94.07	 10716.62   93.70
 51 Sc  21    6752.62   25.0006  12808.45   20.21
 51 Ti  22    6372.49    0.4903  17311.68    0.49
 51 V   23   11051.15    0.0843  20387.07    1.28
 51 Cr  24    9260.62    0.2099  22260.96    2.21
 51 Mn  25   13685.84    0.3762  26768.39   24.02
 51 Fe  26   13818.12   61.8571  31783.0    150.0  
 51 Co  27   18150.0    224.0  	 33841.0    300.0   
 51 Ni  28   15719.0    369.0  	 36580.0    478.0   
 52 Ar  18    3274.0   1142.0  	  4639.0   1142.0   
 52 K   19    2268.0    861.0  	  6989.0    752.0  
 52 Ca  20    4717.21  704.89	  9080.94  698.68
 52 Sc  21    5209.67  194.3560  11962.29  193.90
 52 Ti  22    7808.30    7.0913  14180.80    7.07
 52 V   23    7311.24    0.1304  18362.39    0.15
 52 Cr  24   12039.44    0.9903  21300.07    0.99
 52 Mn  25   10535.42    2.0423  24221.26    2.06
 52 Fe  26   16180.59   16.3593  29998.71   60.35
 52 Co  27   14713.0    163.0  	 32863.0    180.0   
